SourceFile,DateTimeOriginal
E:/Nistkastenmonitoring/NKM02//2018_06_05/100EK113/04040001.JPG,2017:04:04 17:00:01
E:/Nistkastenmonitoring/NKM02//2018_06_05/100EK113/04040002.JPG,2017:04:04 18:00:01
E:/Nistkastenmonitoring/NKM02//2018_06_05/100EK113/04040003.JPG,2017:04:04 22:42:15
E:/Nistkastenmonitoring/NKM02//2018_06_05/100EK113/04040004.JPG,2017:04:04 22:56:25
E:/Nistkastenmonitoring/NKM02//2018_06_05/100EK113/04050005.JPG,2017:04:05 05:00:01
E:/Nistkastenmonitoring/NKM02//2018_06_05/100EK113/04050006.JPG,2017:04:05 06:00:01
E:/Nistkastenmonitoring/NKM02//2018_06_05/100EK113/04050007.JPG,2017:04:05 11:01:25
E:/Nistkastenmonitoring/NKM02//2018_06_05/100EK113/04050008.JPG,2017:04:05 11:01:31
E:/Nistkastenmonitoring/NKM02//2018_06_05/100EK113/04050009.JPG,2017:04:05 11:01:39
E:/Nistkastenmonitoring/NKM02//2018_06_05/100EK113/04050010.JPG,2017:04:05 11:01:45
E:/Nistkastenmonitoring/NKM02//2018_06_05/100EK113/04050011.JPG,2017:04:05 11:01:51
E:/Nistkastenmonitoring/NKM02//2018_06_05/100EK113/04050012.JPG,2017:04:05 11:02:18
E:/Nistkastenmonitoring/NKM02//2018_06_05/100EK113/04050013.JPG,2017:04:05 11:02:49
E:/Nistkastenmonitoring/NKM02//2018_06_05/100EK113/04050014.JPG,2017:04:05 11:02:55
E:/Nistkastenmonitoring/NKM02//2018_06_05/100EK113/04050015.JPG,2017:04:05 11:03:03
E:/Nistkastenmonitoring/NKM02//2018_06_05/100EK113/04050016.JPG,2017:04:05 11:03:09
E:/Nistkastenmonitoring/NKM02//2018_06_05/100EK113/04050017.JPG,2017:04:05 11:03:15
E:/Nistkastenmonitoring/NKM02//2018_06_05/100EK113/04050018.JPG,2017:04:05 11:03:20
E:/Nistkastenmonitoring/NKM02//2018_06_05/100EK113/04050019.JPG,2017:04:05 11:03:26
E:/Nistkastenmonitoring/NKM02//2018_06_05/100EK113/04050020.JPG,2017:04:05 11:03:32
E:/Nistkastenmonitoring/NKM02//2018_06_05/100EK113/04050021.JPG,2017:04:05 11:03:40
E:/Nistkastenmonitoring/NKM02//2018_06_05/100EK113/04050022.JPG,2017:04:05 11:03:45
E:/Nistkastenmonitoring/NKM02//2018_06_05/100EK113/04050023.JPG,2017:04:05 11:03:51
