SourceFile,DateTimeOriginal
E:/Nistkastenmonitoring/NKM01//100EK113/06100070.JPG,2018:06:10 02:02:10
E:/Nistkastenmonitoring/NKM01//100EK113/06100071.JPG,2018:06:10 02:02:11
E:/Nistkastenmonitoring/NKM01//100EK113/06100072.JPG,2018:06:10 02:02:13
E:/Nistkastenmonitoring/NKM01//100EK113/06100073.JPG,2018:06:10 02:03:46
E:/Nistkastenmonitoring/NKM01//100EK113/06100074.JPG,2018:06:10 02:03:47
E:/Nistkastenmonitoring/NKM01//100EK113/06100075.JPG,2018:06:10 03:34:22
E:/Nistkastenmonitoring/NKM01//100EK113/06100076.JPG,2018:06:10 03:34:23
E:/Nistkastenmonitoring/NKM01//100EK113/06100077.JPG,2018:06:10 05:00:01
E:/Nistkastenmonitoring/NKM01//100EK113/06100078.JPG,2018:06:10 05:26:11
E:/Nistkastenmonitoring/NKM01//100EK113/06100079.JPG,2018:06:10 05:28:46
E:/Nistkastenmonitoring/NKM01//100EK113/06100080.JPG,2018:06:10 05:29:31
E:/Nistkastenmonitoring/NKM01//100EK113/06100081.JPG,2018:06:10 05:29:40
E:/Nistkastenmonitoring/NKM01//100EK113/06100082.JPG,2018:06:10 05:29:47
E:/Nistkastenmonitoring/NKM01//100EK113/06100083.JPG,2018:06:10 05:29:57
E:/Nistkastenmonitoring/NKM01//100EK113/06100084.JPG,2018:06:10 05:30:20
E:/Nistkastenmonitoring/NKM01//100EK113/06100085.JPG,2018:06:10 05:30:23
E:/Nistkastenmonitoring/NKM01//100EK113/06100086.JPG,2018:06:10 05:30:31
E:/Nistkastenmonitoring/NKM01//100EK113/06100087.JPG,2018:06:10 05:30:52
E:/Nistkastenmonitoring/NKM01//100EK113/06100088.JPG,2018:06:10 05:33:16
E:/Nistkastenmonitoring/NKM01//100EK113/06100089.JPG,2018:06:10 05:33:19
E:/Nistkastenmonitoring/NKM01//100EK113/06100090.JPG,2018:06:10 05:33:19
E:/Nistkastenmonitoring/NKM01//100EK113/06100091.JPG,2018:06:10 05:33:21
E:/Nistkastenmonitoring/NKM01//100EK113/06100092.JPG,2018:06:10 05:33:21
E:/Nistkastenmonitoring/NKM01//100EK113/06100093.JPG,2018:06:10 05:33:23
E:/Nistkastenmonitoring/NKM01//100EK113/06100094.JPG,2018:06:10 05:33:23
E:/Nistkastenmonitoring/NKM01//100EK113/06100095.JPG,2018:06:10 05:33:24
E:/Nistkastenmonitoring/NKM01//100EK113/06100096.JPG,2018:06:10 05:33:32
E:/Nistkastenmonitoring/NKM01//100EK113/06100097.JPG,2018:06:10 05:33:35
E:/Nistkastenmonitoring/NKM01//100EK113/06100098.JPG,2018:06:10 05:33:35
E:/Nistkastenmonitoring/NKM01//100EK113/06100099.JPG,2018:06:10 05:33:48
E:/Nistkastenmonitoring/NKM01//100EK113/06100100.JPG,2018:06:10 05:34:10
E:/Nistkastenmonitoring/NKM01//100EK113/06100101.JPG,2018:06:10 05:34:12
E:/Nistkastenmonitoring/NKM01//100EK113/06100102.JPG,2018:06:10 05:34:13
E:/Nistkastenmonitoring/NKM01//100EK113/06100103.JPG,2018:06:10 05:34:14
E:/Nistkastenmonitoring/NKM01//100EK113/06100104.JPG,2018:06:10 05:34:15
E:/Nistkastenmonitoring/NKM01//100EK113/06100105.JPG,2018:06:10 05:34:15
E:/Nistkastenmonitoring/NKM01//100EK113/06100106.JPG,2018:06:10 05:34:17
E:/Nistkastenmonitoring/NKM01//100EK113/06100107.JPG,2018:06:10 05:34:21
E:/Nistkastenmonitoring/NKM01//100EK113/06100108.JPG,2018:06:10 05:34:24
E:/Nistkastenmonitoring/NKM01//100EK113/06100109.JPG,2018:06:10 05:36:50
E:/Nistkastenmonitoring/NKM01//100EK113/06100110.JPG,2018:06:10 05:37:00
E:/Nistkastenmonitoring/NKM01//100EK113/06100111.JPG,2018:06:10 05:37:03
E:/Nistkastenmonitoring/NKM01//100EK113/06100112.JPG,2018:06:10 05:37:04
E:/Nistkastenmonitoring/NKM01//100EK113/06100113.JPG,2018:06:10 05:37:05
E:/Nistkastenmonitoring/NKM01//100EK113/06100114.JPG,2018:06:10 05:37:06
E:/Nistkastenmonitoring/NKM01//100EK113/06100115.JPG,2018:06:10 05:37:07
E:/Nistkastenmonitoring/NKM01//100EK113/06100116.JPG,2018:06:10 05:37:07
E:/Nistkastenmonitoring/NKM01//100EK113/06100117.JPG,2018:06:10 05:37:22
E:/Nistkastenmonitoring/NKM01//100EK113/06100118.JPG,2018:06:10 05:37:24
E:/Nistkastenmonitoring/NKM01//100EK113/06100119.JPG,2018:06:10 05:37:25
E:/Nistkastenmonitoring/NKM01//100EK113/06100120.JPG,2018:06:10 05:37:26
E:/Nistkastenmonitoring/NKM01//100EK113/06100121.JPG,2018:06:10 05:37:26
E:/Nistkastenmonitoring/NKM01//100EK113/06100122.JPG,2018:06:10 05:37:27
E:/Nistkastenmonitoring/NKM01//100EK113/06100123.JPG,2018:06:10 05:37:29
E:/Nistkastenmonitoring/NKM01//100EK113/06100124.JPG,2018:06:10 05:37:29
E:/Nistkastenmonitoring/NKM01//100EK113/06100125.JPG,2018:06:10 05:37:30
